index,clean_text
438,worst phone I have ever seen battery not comes even half a day I have called several times to amazon to return the phone but their response also worse than this phone
440,camera performance is not good
441,I have been using it for the last days and the phone is actually a killer that being said by Lenovo killer I hope that the phone doesn't really kills me cause the only thing that is bothering me is this heating issue while charging 
442,"awesome performance good clarity, awesome features"
443,awesome phone in this price
444,"It's been almost more than weeks that I am using this phone and have not faced a single issue, it's worth every penny sturdy built good hold awesome touch loud speaker super battery backup good rear and front cameras and top it all stock android go for it "
445,my phone is good condition
446,"very nice, good phone"
447,over heating while using the net 
448,not bad
449,this is a good phone with awesome battery backup and camera clarity 
450,worst product at this price lack of features as compared to other Lenovo product better go for redmi don't buy this
451,good phone I'm happy with this
452,this Lenovo k note issues are given below g fat g let network not supporting if you want to set phone ring tone music then you have to download as file explore 
453,"Good, but slow after using month"
454,nice product
455,not bad
456,nice phone
457,"I don't like this phone dual camera is totally garbage and battery also not working well decide core processor ke baad me hi real mega nahi aa raha battery without use, hi discharge ho Rahi who contacts SIM or phone me save hi how doll by Atmos kuch kaam ka nahi hai is ace to kisi normal phone me jet audio plus download cradle headphone jack ki sound bahut came he sometimes new installed app was don't show phone KO restart krna pasta hair so I don't like this Lenovo k note "
458,great specifications and big screen at this price is value for money I think the camera quality could have been better having dual camera almost moto like interface does not make it something different works fine 
